268,万,碧桐海苑 2室1厅 268万
329.3,万,浩海明珠 全新毛坯 红本满两年 空置专卖 有匙即看
380,万,三十六小区 户型通透 精装修拎包入住 满5年红本在手
337,万,浩海明珠 一手新盘 现楼发售 全新毛坯 有匙即看
290,万,东部阳光 花园社区 南向高层可看海 满2年 户型方正
337,万,浩海明珠 开发商保留单位 顶层复式 全新毛坯 免佣！
850,万,直面大海，三房格局，适合居家生活，万科高品质。
1900,万,&ldquo;十一墅&rdquo;仅售房源，层层看海景，上下5层，花园150平
980,万,上善梧桐苑 满两年唯一在售，看房方便，小区关注度高
320,万,看房方便 视野开阔 采光好 精装修
330,万,沙头角电信宿舍楼  82.70平的大三房  朝南向采光好
950,万,半山半海  高层大户型 朝南 单本证 无遮挡 看山景
870,万,合泰御景翠峰 南北通户型 全新毛坯 高楼层 空置专卖
530,万,复式顶楼视野开阔无遮挡满5年在深这一套 实用有钥匙
245,万,端头位置采光好 面积使用率高 东南朝向 满5年
495,万,盐田港半山观海梧桐春晓花园通透四居室精装满二年
430,万,精美装修 海景大四房 一手业主
600,万,东南向3+1房 高层看海景 通风采光好 诚心出售
390,万,房子是精装修，看海景 买过来可以直接拎包入住
300,万,上东湾 关口温馨两房去香港方便 生活便利 满5年红本
320,万,湖心岛2房住宅 西班牙风情 度假优选 湖景居家 满五年
185,万,昊海君悦 酒店公寓 高层朝南 看海景
900,万,沙头角CBD区域的大三房，高层看海，居住舒适
540,万,新世界倚山花园三期 复式四房 有装修看房方便
790,万,南北通3+1房  全新装修 高层看海景
496,万,浩海明珠 开发商保留单位 全新毛坯 顶层复式 免佣！
285,万,碧桐海苑  精装两房 区政府位置 交通便利
430,万,御景台雅园 3室2厅 430万
396,万,急卖笋盘  倚山三期  精装修三房  满二年
365,万,碧桐湾 3室2厅 365万
